,Televisor_analogico,Televisor_con_decodificador,Televisor_digital,Telefono_celular,Computadora_escritorio,Laptop,Internet,Estrato_socioeconomico,Tipo_de_entorno
243,No,No,No,Si,No,No,No,Medio bajo,Urbano
244,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
245,Si,Si,Si,Si,No,Si,Si,Medio bajo,Urbano
246,Si,Si,No,Si,No,No,Si,Medio bajo,Urbano
247,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
248,Si,No,Si,Si,No,No,No,Medio bajo,Urbano
249,Si,No,No,Si,No,No,No,Medio bajo,Urbano
250,No,No,No,Si,No,No,No,Medio alto,Urbano
251,No,No,Si,Si,No,No,Si,Medio alto,Urbano
252,Si,No,No,Si,No,No,Si,Medio alto,Urbano
253,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
254,No,No,Si,Si,No,No,Si,Medio alto,Urbano
255,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
256,No,No,Si,Si,Si,No,Si,Medio bajo,Urbano
257,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
258,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
259,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
260,No,No,Si,No,No,Si,Si,Bajo,Rural
261,No,No,Si,Si,No,Si,Si,Bajo,Rural
262,Si,No,No,Si,No,No,No,Bajo,Rural
263,Si,No,No,Si,No,No,Si,Bajo,Rural
264,Si,No,Si,Si,No,No,Si,Medio bajo,Rural
265,Si,No,Si,Si,No,Si,Si,Medio bajo,Rural
266,No,No,Si,Si,No,No,No,Medio bajo,Rural
267,Si,No,No,Si,No,No,Si,Medio bajo,Rural
268,No,No,Si,Si,No,No,Si,Medio bajo,Rural
269,Si,Si,Si,Si,No,No,Si,Medio bajo,Rural
270,Si,Si,No,Si,No,No,Si,Medio bajo,Rural
271,No,No,No,No,No,No,No,Bajo,Urbano
272,No,No,Si,Si,No,No,Si,Alto,Urbano
273,No,No,Si,Si,No,No,Si,Alto,Urbano
274,No,No,Si,Si,Si,No,Si,Alto,Urbano
275,No,No,Si,Si,No,Si,Si,Alto,Urbano
276,Si,No,No,Si,No,No,No,Bajo,Urbano
277,No,No,No,Si,No,No,No,Bajo,Urbano
278,No,No,Si,Si,No,No,Si,Bajo,Urbano
279,No,No,No,Si,No,No,No,Bajo,Urbano
280,No,No,Si,Si,No,No,Si,Bajo,Urbano
281,No,No,No,No,No,No,No,Bajo,Urbano
282,Si,No,No,Si,No,No,No,Bajo,Urbano
283,No,No,No,Si,No,No,No,Bajo,Urbano
284,No,No,Si,Si,No,Si,Si,Bajo,Urbano
285,No,No,No,Si,No,No,Si,Bajo,Urbano
286,Si,No,No,Si,No,No,No,Bajo,Urbano
287,No,No,Si,Si,No,No,Si,Bajo,Urbano
288,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
289,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
290,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
291,No,No,No,Si,No,No,Si,Medio bajo,Urbano
292,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
293,No,No,Si,Si,Si,No,Si,Medio bajo,Urbano
294,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
295,Si,No,No,Si,No,No,Si,Medio alto,Urbano
296,Si,No,Si,Si,Si,Si,Si,Medio alto,Urbano
297,No,No,No,Si,No,No,No,Medio alto,Urbano
298,Si,Si,No,Si,No,No,Si,Bajo,Rural
299,No,No,Si,Si,No,No,No,Bajo,Rural
300,No,No,Si,Si,No,Si,Si,Bajo,Rural
301,Si,Si,No,Si,No,No,No,Bajo,Rural
302,No,No,Si,No,No,No,No,Bajo,Rural
303,No,No,Si,Si,No,No,No,Bajo,Rural
304,No,No,No,No,No,No,No,Medio bajo,Rural
305,No,No,Si,Si,Si,No,Si,Medio bajo,Rural
306,No,No,Si,Si,No,No,No,Medio bajo,Rural
307,No,No,Si,Si,No,No,No,Medio bajo,Rural
308,Si,No,Si,Si,No,Si,Si,Medio bajo,Rural
309,Si,No,Si,Si,No,Si,Si,Medio alto,Urbano
310,No,No,Si,Si,No,No,Si,Medio alto,Urbano
311,No,No,Si,Si,Si,No,Si,Alto,Urbano
312,No,No,No,Si,No,No,No,Bajo,Rural
313,Si,No,No,Si,No,No,Si,Bajo,Rural
314,Si,No,No,No,No,No,No,Bajo,Rural
315,No,No,No,Si,No,No,No,Bajo,Rural
316,No,No,No,Si,No,No,No,Bajo,Rural
317,No,No,No,Si,No,No,No,Bajo,Rural
318,Si,No,No,Si,No,No,No,Bajo,Rural
319,No,No,Si,Si,No,No,Si,Bajo,Rural
320,Si,No,Si,Si,No,Si,Si,Medio bajo,Urbano
321,Si,No,Si,Si,No,Si,Si,Alto,Urbano
322,Si,Si,No,Si,No,Si,Si,Alto,Urbano
323,No,No,Si,Si,No,Si,No,Bajo,Urbano
324,Si,No,No,Si,No,No,No,Bajo,Urbano
325,No,No,Si,Si,No,No,No,Bajo,Urbano
326,No,No,Si,Si,No,No,No,Bajo,Urbano
327,Si,No,Si,Si,No,Si,No,Bajo,Urbano
328,Si,No,No,Si,No,Si,Si,Bajo,Urbano
329,No,No,Si,Si,Si,No,No,Bajo,Urbano
330,Si,No,Si,Si,No,Si,Si,Bajo,Urbano
331,Si,No,No,Si,No,No,No,Bajo,Urbano
332,Si,No,No,Si,No,No,No,Bajo,Urbano
333,No,No,No,Si,No,Si,No,Medio bajo,Urbano
334,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
335,No,No,No,No,No,No,No,Medio bajo,Urbano
336,No,No,Si,Si,No,Si,No,Medio bajo,Urbano
337,No,Si,Si,Si,No,Si,Si,Alto,Urbano
338,Si,Si,Si,Si,No,Si,Si,Alto,Urbano
339,Si,No,Si,Si,No,Si,Si,Alto,Urbano
340,No,No,No,Si,No,Si,Si,Alto,Urbano
341,No,No,Si,Si,No,Si,Si,Alto,Urbano
342,Si,Si,Si,Si,No,Si,No,Alto,Urbano
343,Si,No,Si,Si,No,Si,Si,Alto,Urbano
344,No,No,No,Si,Si,Si,Si,Alto,Urbano
345,Si,No,Si,Si,No,No,No,Bajo,Urbano
346,Si,No,Si,Si,No,No,Si,Alto,Urbano
347,Si,No,Si,Si,No,No,Si,Alto,Urbano
348,No,No,Si,Si,No,Si,No,Alto,Urbano
349,Si,No,No,Si,No,No,Si,Alto,Urbano
350,Si,No,Si,Si,No,Si,Si,Alto,Urbano
351,Si,No,Si,Si,No,No,Si,Alto,Urbano
352,Si,Si,Si,Si,Si,Si,Si,Alto,Urbano
353,Si,No,Si,Si,No,Si,Si,Alto,Urbano
354,No,Si,Si,Si,No,Si,No,Alto,Urbano
355,No,No,Si,Si,Si,Si,Si,Alto,Urbano
356,Si,No,Si,Si,No,No,No,Medio bajo,Urbano
357,Si,No,No,Si,No,No,No,Medio bajo,Urbano
358,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
359,No,No,No,No,No,No,No,Medio bajo,Rural
360,Si,No,No,Si,No,No,No,Medio bajo,Rural
361,Si,No,No,Si,No,No,No,Bajo,Rural
362,No,No,No,Si,Si,Si,No,Bajo,Rural
363,Si,No,Si,Si,No,No,No,Bajo,Rural
364,No,No,No,Si,No,No,No,Bajo,Rural
365,No,No,Si,Si,No,No,No,Bajo,Rural
366,No,No,Si,Si,No,No,No,Bajo,Rural
367,No,No,No,Si,No,No,No,Bajo,Urbano
368,Si,No,Si,Si,No,No,Si,Alto,Urbano
369,No,No,Si,Si,Si,Si,Si,Alto,Urbano
370,No,No,Si,Si,Si,Si,Si,Alto,Urbano
371,No,No,Si,Si,Si,Si,Si,Alto,Urbano
372,Si,Si,Si,Si,Si,Si,Si,Alto,Urbano
373,No,No,No,Si,Si,Si,Si,Alto,Urbano
374,No,No,Si,Si,No,No,Si,Alto,Urbano
375,Si,No,Si,Si,Si,Si,Si,Alto,Urbano
376,No,No,Si,Si,No,Si,Si,Alto,Urbano
377,No,No,Si,Si,Si,Si,Si,Alto,Urbano
378,No,No,Si,Si,No,Si,Si,Alto,Urbano
379,No,No,Si,Si,No,Si,Si,Bajo,Urbano
380,No,No,Si,Si,No,No,No,Bajo,Urbano
381,Si,No,No,Si,No,No,No,Bajo,Urbano
382,Si,No,Si,Si,Si,No,Si,Bajo,Urbano
383,No,No,Si,Si,No,No,Si,Bajo,Urbano
